state_name,eGRID subregion acronym,eGRID subregion name,TotalOER_CO2,TotalOER_CH4,TotalOER_N2O,TotalOER_CO2e,FFOER - CO2,NBOER_CO2,NBOER_CH4,NBOER_N2O,NBOER_CO2e
Alabama,SRSO,SERC South,1144.5,105.4,15.6,1151.6,1560.8,1303.0,117.9,17.4,1310.8
Alaska,AKGD_AKMS,ASCC Alaska Grid,816.4,43.1,6.9,819.5,2273.4,958.6,45.2,7.6,961.9
Arizona,AZNM,WECC Southwest,878.5,66.5,9.3,882.8,1470.0,946.2,50.9,6.9,949.4
Arkansas,SRMV,SERC Mississippi Valley,1160.0,90.3,13.0,1165.9,1491.0,1340.7,97.0,13.8,1347.0
California,CAMX,WECC California,619.9,36.7,4.5,621.9,945.3,599.8,24.2,2.9,601.0
Colorado,RMPA,WECC Rockies,1774.0,185.3,26.8,1786.2,2064.5,1334.3,122.9,17.6,1342.4
Connecticut,NEWE,NPCC New England,578.2,98.0,13.2,584.2,1024.4,948.7,98.4,13.4,954.6
Delaware,RFCE,RFC East,852.9,75.6,11.5,858.1,1520.8,1393.5,113.4,16.4,1401.0
Florida,FRCC,FRCC All,1088.7,88.4,12.1,1094.3,1273.5,1173.3,80.8,11.0,1178.4
Georgia,SRSO,SERC South,1144.5,105.4,15.6,1151.6,1560.8,1303.0,117.9,17.4,1310.8
Hawaii,HIMS_HIOA,HICC Miscellaneous,1281.7,137.9,21.4,1291.3,1594.8,1250.9,127.0,20.2,1259.8
Idaho,NWPP,WECC Northwest,915.7,98.9,14.4,922.3,1882.3,582.4,57.9,8.3,586.2
Illinois,SRMW,SERC Midwest,1606.8,187.5,27.3,1619.2,2114.3,1846.3,210.8,30.6,1860.3
Indiana,RFCW,RFC West,1497.1,161.3,23.7,1507.8,1961.1,1812.7,185.8,27.4,1825.1
Iowa,MROW,MRO West,1248.5,148.4,21.5,1258.1,2221.8,1108.5,131.0,18.8,1117.1
Kansas,SPNO,SPP North,1458.6,160.8,23.3,1469.2,2211.9,1519.7,162.2,23.5,1530.3
Kentucky,SRTV,SERC Tennessee Valley,1368.1,142.1,20.7,1377.4,2000.6,1672.9,161.4,23.4,1683.5
Louisiana,SRMV,SERC Mississippi Valley,1160.0,90.3,13.0,1165.9,1491.0,1340.7,97.0,13.8,1347.0
Maine,NEWE,NPCC New England,578.2,98.0,13.2,584.2,1024.4,948.7,98.4,13.4,954.6
Maryland,RFCE_RFCW,RFC East,1175.0,118.5,17.6,1183.0,1741.0,1603.1,149.6,21.9,1613.1
Massachusetts,NEWE,NPCC New England,578.2,98.0,13.2,584.2,1024.4,948.7,98.4,13.4,954.6
Michigan,RFCM,RFC Michigan,1553.9,171.1,24.6,1565.1,2003.5,1724.8,176.7,25.4,1736.4
Minnesota,MROW,MRO West,1248.5,148.4,21.5,1258.1,2221.8,1108.5,131.0,18.8,1117.1
Mississippi,SRSO_SRTV,SERC Tennessee Valley,1256.3,123.8,18.2,1264.5,1780.7,1488.0,139.7,20.4,1497.2
Missouri,SRMW,SERC Midwest,1606.8,187.5,27.3,1619.2,2114.3,1846.3,210.8,30.6,1860.3
Montana,NWPP,WECC Northwest,915.7,98.9,14.4,922.3,1882.3,582.4,57.9,8.3,586.2
Nebraska,MROW,MRO West,1248.5,148.4,21.5,1258.1,2221.8,1108.5,131.0,18.8,1117.1
Nevada,NWPP,WECC Northwest,915.7,98.9,14.4,922.3,1882.3,582.4,57.9,8.3,586.2
New Hampshire,NEWE,NPCC New England,578.2,98.0,13.2,584.2,1024.4,948.7,98.4,13.4,954.6
New Jersey,RFCE,RFC East,852.9,75.6,11.5,858.1,1520.8,1393.5,113.4,16.4,1401.0
New Mexico,AZNM,WECC Southwest,878.5,66.5,9.3,882.8,1470.0,946.2,50.9,6.9,949.4
New York,NYCW_NYLI_NYUP,NPCC NYC/Westchester,768.6,63.4,8.2,772.5,1198.3,1130.9,43.0,5.6,1133.5
North Carolina,SRVC,SERC Virginia/Carolina,862.3,99.7,14.4,868.8,1630.6,1285.6,132.7,19.0,1294.2
North Dakota,MROW,MRO West,1248.5,148.4,21.5,1258.1,2221.8,1108.5,131.0,18.8,1117.1
Ohio,RFCW,RFC West,1497.1,161.3,23.7,1507.8,1961.1,1812.7,185.8,27.4,1825.1
Oklahoma,SPSO,SPP South,1586.3,150.1,21.8,1596.3,1820.2,1483.0,127.8,18.4,1491.4
Oregon,NWPP,WECC Northwest,915.7,98.9,14.4,922.3,1882.3,582.4,57.9,8.3,586.2
Pennsylvania,RFCE,RFC East,852.9,75.6,11.5,858.1,1520.8,1393.5,113.4,16.4,1401.0
Rhode Island,NEWE,NPCC New England,578.2,98.0,13.2,584.2,1024.4,948.7,98.4,13.4,954.6
South Carolina,SRVC,SERC Virginia/Carolina,862.3,99.7,14.4,868.8,1630.6,1285.6,132.7,19.0,1294.2
South Dakota,MROW,MRO West,1248.5,148.4,21.5,1258.1,2221.8,1108.5,131.0,18.8,1117.1
Tennessee,SRTV,SERC Tennessee Valley,1368.1,142.1,20.7,1377.4,2000.6,1672.9,161.4,23.4,1683.5
Texas,ERCT,ERCOT All,1103.2,66.6,9.2,1107.5,1432.5,1069.2,47.0,6.3,1072.1
Utah,NWPP,WECC Northwest,915.7,98.9,14.4,922.3,1882.3,582.4,57.9,8.3,586.2
Vermont,NEWE,NPCC New England,578.2,98.0,13.2,584.2,1024.4,948.7,98.4,13.4,954.6
Virginia,RFCW_SRVC,RFC West,1179.7,130.5,19.1,1188.3,1795.9,1549.2,159.3,23.2,1559.7
Washington,NWPP,WECC Northwest,915.7,98.9,14.4,922.3,1882.3,582.4,57.9,8.3,586.2
West Virginia,RFCW,RFC West,1497.1,161.3,23.7,1507.8,1961.1,1812.7,185.8,27.4,1825.1
Wisconsin,MORE_MROW,MRO East,1258.0,149.6,21.9,1267.8,2153.1,1414.4,162.5,23.6,1425.1
Wyoming,NWPP_RMPA,WECC Northwest,1344.9,142.1,20.6,1354.3,1973.4,958.4,90.4,13.0,964.3
